Source,Platform,Project,Run Number,Condition/Profile,Duration (seconds),Status
Local Benchmark Execution,Jenkins,Project A,1,Cold,41.55283639999834,Success
Local Benchmark Execution,Jenkins,Project A,2,Cold,4.608861000000616,Success
Local Benchmark Execution,Jenkins,Project A,3,Cold,4.67974139999933,Success
Local Benchmark Execution,Jenkins,Project A,4,Cold,4.702558699998917,Success
Local Benchmark Execution,Jenkins,Project A,5,Cold,4.70302459999948,Success
Local Benchmark Execution,Jenkins,Project A,6,Cold,4.835563799999363,Success
Local Benchmark Execution,Jenkins,Project A,7,Cold,4.592422900001111,Success
Local Benchmark Execution,Jenkins,Project A,8,Cold,4.681332599997404,Success
Local Benchmark Execution,Jenkins,Project A,9,Cold,4.837206599997444,Success
Local Benchmark Execution,Jenkins,Project A,10,Cold,4.705129099998885,Success
Local Benchmark Execution,Jenkins,Project A,11,Cold,7.98156630000085,Success
Local Benchmark Execution,Jenkins,Project A,12,Cold,7.045102000000043,Success
Local Benchmark Execution,Jenkins,Project A,13,Cold,6.252344399999856,Success
Local Benchmark Execution,Jenkins,Project A,14,Cold,5.780091000004177,Success
Local Benchmark Execution,Jenkins,Project A,15,Cold,5.598097599999164,Success
Local Benchmark Execution,Jenkins,Project A,16,Cold,6.237204899996868,Success
Local Benchmark Execution,Jenkins,Project A,17,Cold,6.058520299997326,Success
Local Benchmark Execution,Jenkins,Project A,18,Cold,5.729743400002917,Success
Local Benchmark Execution,Jenkins,Project A,19,Cold,6.012694400000328,Success
Local Benchmark Execution,Jenkins,Project A,20,Cold,6.7901300999947125,Success
Local Benchmark Execution,Jenkins,Project A,1,Warm,3.7738213000011456,Success
Local Benchmark Execution,Jenkins,Project A,2,Warm,3.517701800003124,Success
Local Benchmark Execution,Jenkins,Project A,3,Warm,3.520083799998247,Success
Local Benchmark Execution,Jenkins,Project A,4,Warm,3.51837329999762,Success
Local Benchmark Execution,Jenkins,Project A,5,Warm,3.4684704999999667,Success
Local Benchmark Execution,Jenkins,Project A,6,Warm,3.497635600004287,Success
Local Benchmark Execution,Jenkins,Project A,7,Warm,3.503786500001297,Success
Local Benchmark Execution,Jenkins,Project A,8,Warm,3.5017163999982586,Success
Local Benchmark Execution,Jenkins,Project A,9,Warm,3.5560764000001654,Success
Local Benchmark Execution,Jenkins,Project A,10,Warm,3.437919399995735,Success
Local Benchmark Execution,Jenkins,Project A,11,Warm,6.518645100000867,Success
Local Benchmark Execution,Jenkins,Project A,12,Warm,4.985393300004944,Success
Local Benchmark Execution,Jenkins,Project A,13,Warm,4.9725237999991805,Success
Local Benchmark Execution,Jenkins,Project A,14,Warm,5.453646699999808,Success
Local Benchmark Execution,Jenkins,Project A,15,Warm,4.913643100004265,Success
Local Benchmark Execution,Jenkins,Project A,16,Warm,4.20256039999731,Success
Local Benchmark Execution,Jenkins,Project A,17,Warm,4.939335699997173,Success
Local Benchmark Execution,Jenkins,Project A,18,Warm,5.319983099998353,Success
Local Benchmark Execution,Jenkins,Project A,19,Warm,6.196690200002195,Success
Local Benchmark Execution,Jenkins,Project A,20,Warm,5.201547699998628,Success
Local Benchmark Execution,Jenkins,Project A,1,Parallel,0.9340757999993002,Success
Local Benchmark Execution,Jenkins,Project A,2,Parallel,0.9357412950002981,Success
Local Benchmark Execution,Jenkins,Project A,3,Parallel,0.905734754999503,Success
Local Benchmark Execution,Jenkins,Project A,4,Parallel,0.9397833750013888,Success
Local Benchmark Execution,Jenkins,Project A,5,Parallel,0.9289541699994516,Success
Local Benchmark Execution,Jenkins,Project A,6,Parallel,0.9502782750001643,Success
Local Benchmark Execution,Jenkins,Project A,7,Parallel,0.9102309749994675,Success
